TransactionID,TransactionTime,TransactionAmount,CardHash,CardType,CardNetwork,IssuingBank,DeviceType,DeviceHash,IPAddress,EmailDomain,Browser,OSType,ScreenResolution,Latitude,Longitude,IsProxy,ProductCategory,MerchantID,MerchantCategory,TransactionCountry,IsFraud,FraudProbability,ProcessingTime
8564,2023-01-01 01:41:00,62.89,card_000133,mastercard,Amex,Deutsche Bank,desktop,dev_02264,197.117.197.142,hotmail.com,Opera,macOS,1440x900,-68.814455,75.32911,False,Food & Grocery,merchant_00545,online_retail,MX,False,0.1855,261
7001,2023-01-01 01:54:00,9.65,card_000046,debit,Amex,Citibank,mobile,dev_00505,222.136.34.249,company.com,Opera,Windows,1920x1080,-51.615231,26.873026,False,Books,merchant_04933,gift_cards,US,False,0.0996,187
4133,2023-01-01 02:08:00,1.47,card_000032,visa,Amex,Capital One,mobile,dev_03074,25.157.208.170,yahoo.com,Edge,Windows,1024x768,31.476529,49.80729,True,Home & Garden,merchant_08381,cryptocurrency,BR,False,0.0762,361
9730,2023-01-01 04:06:00,1593.25,card_000069,amex,Visa,Citibank,tablet,dev_01304,161.106.234.176,temp_mail.com,Firefox,Windows,1920x1080,36.596386,103.896198,True,Electronics,merchant_04183,cryptocurrency,KR,True,0.8979,666
2466,2023-01-01 05:50:00,62.12,card_000071,mastercard,Discover,Discover,mobile,dev_02225,9.181.230.239,gmail.com,Firefox,Android,1920x1080,-24.541359,28.861873,True,Toys,merchant_06037,dining,DE,False,0.0386,366
1851,2023-01-01 07:04:00,1.63,card_000186,debit,Amex,HSBC,tablet,dev_03005,122.35.103.109,company.com,IE,Linux,2560x1440,-44.839372,33.767085,True,Food & Grocery,merchant_07004,dating_apps,JP,False,0.0416,94
7256,2023-01-01 08:01:00,98.43,card_000014,mastercard,Mastercard,US Bank,desktop,dev_01840,106.138.210.70,hotmail.com,IE,iOS,2560x1440,53.379778,158.399323,True,Books,merchant_02089,entertainment,CN,False,0.1229,326
9529,2023-01-01 10:50:00,28.92,card_000068,debit,Amex,Deutsche Bank,desktop,dev_04585,87.96.204.122,yahoo.com,Safari,macOS,1920x1080,-9.540033,86.751744,False,Services,merchant_05596,gift_cards,JP,False,0.099,361
4750,2023-01-01 11:55:00,41.43,card_000119,amex,Visa,Citibank,tablet,dev_04104,96.46.181.205,company.com,Safari,Windows,1024x768,-24.314307,-169.947865,False,Digital Content,merchant_07628,healthcare,CA,False,0.1948,320
5390,2023-01-01 12:00:00,34.62,card_000079,credit,Visa,Chase,tablet,dev_03356,155.18.9.139,gmail.com,Opera,Windows,1366x768,-0.129196,-69.827506,False,Beauty,merchant_02361,grocery,JP,False,0.1977,247
8882,2023-01-01 12:29:00,54.87,card_000139,credit,Amex,Discover,desktop,dev_00695,91.245.162.243,company.com,IE,Linux,1440x900,-81.512216,-86.175136,False,Clothing,merchant_01728,cryptocurrency,IN,False,0.0517,285
3331,2023-01-01 13:17:00,4.02,card_000139,credit,Discover,American Express,tablet,dev_03569,92.236.242.204,hotmail.com,Safari,macOS,1024x768,-42.477141,134.701316,False,Services,merchant_02690,dating_apps,MX,False,0.0229,101
5983,2023-01-01 14:35:00,18.21,card_000188,mastercard,Mastercard,Deutsche Bank,mobile,dev_00696,129.106.144.143,gmail.com,Firefox,Linux,1920x1080,5.372966,-144.921481,True,Electronics,merchant_03268,cryptocurrency,DE,False,0.1143,364
8779,2023-01-01 14:36:00,30.0,card_000165,mastercard,Amex,Chase,mobile,dev_00651,181.216.61.67,yahoo.com,Edge,iOS,2560x1440,46.633429,-173.654002,False,Beauty,merchant_02881,entertainment,IN,False,0.0894,267
5476,2023-01-01 15:15:00,90.77,card_000181,debit,Visa,US Bank,tablet,dev_04509,149.226.172.186,hotmail.com,Opera,iOS,1024x768,-65.269028,-153.143646,False,Clothing,merchant_03094,dating_apps,MX,False,0.0636,417
6115,2023-01-01 16:00:00,27.22,card_000163,visa,Amex,Citibank,mobile,dev_04181,229.65.154.212,outlook.com,Chrome,Windows,2560x1440,-35.381007,-19.694137,True,Home & Garden,merchant_05856,cryptocurrency,DE,False,0.1264,161
9635,2023-01-01 18:35:00,17.15,card_000032,visa,Visa,US Bank,tablet,dev_00745,198.106.98.133,outlook.com,Firefox,Android,1366x768,36.100321,-125.725412,True,Toys,merchant_00523,streaming,FR,False,0.0798,266
1448,2023-01-01 18:43:00,433.22,card_000050,amex,Amex,Discover,desktop,dev_01506,83.142.73.84,outlook.com,IE,Android,1440x900,-43.512416,-6.916979,False,Home & Garden,merchant_03133,gift_cards,CA,False,0.1984,285
229,2023-01-01 21:19:00,272.28,card_000141,mastercard,Discover,HSBC,mobile,dev_04739,45.65.53.198,company.com,Opera,Android,1024x768,-25.78823,12.064293,False,Beauty,merchant_09977,healthcare,RU,False,0.1564,440
1691,2023-01-01 21:27:00,379.96,card_000077,debit,Amex,Capital One,mobile,dev_03929,143.217.228.203,gmail.com,IE,macOS,1920x1080,30.098393,176.915409,True,Services,merchant_02130,entertainment,CA,False,0.1426,177
5098,2023-01-01 21:33:00,10.58,card_000104,visa,Discover,Discover,mobile,dev_04489,250.186.220.153,company.com,Opera,Windows,1920x1080,86.925081,-52.495176,True,Books,merchant_05324,streaming,AU,False,0.0214,363
9147,2023-01-01 21:41:00,36.2,card_000074,amex,Discover,Discover,desktop,dev_00609,130.99.6.62,outlook.com,Firefox,iOS,2560x1440,-43.464094,-119.434601,False,Toys,merchant_02617,online_retail,RU,False,0.1445,199
134,2023-01-01 21:54:00,16.36,card_000090,debit,Mastercard,HSBC,desktop,dev_01507,235.30.17.38,gmail.com,Chrome,iOS,1366x768,-49.068788,38.841982,True,Clothing,merchant_02474,grocery,AU,False,0.0759,308
3545,2023-01-01 22:03:00,11.05,card_000176,mastercard,Amex,Wells Fargo,mobile,dev_04191,43.69.127.175,hotmail.com,Firefox,macOS,1920x1080,9.304388,-78.999078,False,Clothing,merchant_02706,dining,FR,False,0.1973,385
7681,2023-01-01 23:18:00,132.17,card_000168,mastercard,Discover,Wells Fargo,desktop,dev_04370,145.191.248.36,hotmail.com,Opera,macOS,1024x768,57.344166,-152.710246,False,Books,merchant_07157,gift_cards,SG,False,0.1148,60
4654,2023-01-02 00:11:00,13.63,card_000113,credit,Visa,American Express,tablet,dev_01138,110.215.48.21,company.com,Safari,Android,2560x1440,25.685104,-144.947795,False,Electronics,merchant_08000,online_retail,MX,False,0.0839,310
149,2023-01-02 00:46:00,3.5,card_000173,amex,Mastercard,Capital One,mobile,dev_03954,27.151.212.43,gmail.com,IE,macOS,1440x900,58.51932,-49.298684,False,Toys,merchant_07460,insurance,AU,False,0.0068,316
8448,2023-01-02 01:11:00,68.02,card_000122,visa,Visa,Citibank,mobile,dev_00527,73.122.23.48,yahoo.com,IE,Linux,2560x1440,27.342893,-26.656145,True,Electronics,merchant_08117,insurance,JP,False,0.174,164
2657,2023-01-02 01:21:00,143.05,card_000021,debit,Amex,Capital One,desktop,dev_03600,156.15.20.243,yahoo.com,Safari,iOS,2560x1440,9.915345,-140.82934,False,Books,merchant_04088,grocery,JP,False,0.1864,378
5913,2023-01-02 06:12:00,9.54,card_000103,amex,Amex,US Bank,desktop,dev_00111,127.206.73.100,gmail.com,IE,Android,1440x900,73.673774,-147.878994,False,Beauty,merchant_01934,electronics,US,False,0.1777,127
4967,2023-01-02 07:52:00,487.71,card_000136,debit,Mastercard,Citibank,tablet,dev_03749,142.67.181.3,company.com,Firefox,Android,1920x1080,56.658336,114.228258,True,Clothing,merchant_07683,grocery,DE,False,0.0028,279
940,2023-01-02 08:06:00,21.39,card_000019,debit,Mastercard,US Bank,tablet,dev_00347,81.194.240.20,company.com,Edge,iOS,1920x1080,-49.84446,16.440719,True,Services,merchant_00800,grocery,NG,False,0.1368,183
6572,2023-01-02 08:53:00,26.39,card_000181,debit,Discover,Deutsche Bank,mobile,dev_01769,47.115.177.207,company.com,Opera,Windows,1920x1080,-35.308925,31.361837,False,Clothing,merchant_00607,online_retail,GB,False,0.0033,371
9179,2023-01-02 09:04:00,8.41,card_000199,amex,Discover,American Express,mobile,dev_02530,54.241.54.213,company.com,Chrome,Android,1366x768,-42.883604,68.120687,True,Toys,merchant_01894,insurance,NG,False,0.1607,258
9429,2023-01-02 10:03:00,34.73,card_000094,credit,Visa,HSBC,tablet,dev_02614,149.117.251.101,yahoo.com,IE,Android,1024x768,36.238095,29.714422,False,Services,merchant_08394,dining,FR,False,0.1421,171
6365,2023-01-02 10:31:00,719.96,card_000109,credit,Visa,American Express,tablet,dev_02051,152.183.155.138,gmail.com,Edge,Linux,1366x768,0.966183,53.431253,True,Digital Content,merchant_01101,utilities,GB,False,0.1735,354
3077,2023-01-02 11:31:00,120.9,card_000134,mastercard,Discover,HSBC,tablet,dev_01722,142.204.76.176,company.com,Chrome,iOS,1366x768,-80.103262,-150.908738,False,Digital Content,merchant_01679,healthcare,JP,False,0.0377,228
7656,2023-01-02 11:42:00,85.0,card_000177,debit,Visa,Deutsche Bank,mobile,dev_04707,239.233.158.115,yahoo.com,Edge,iOS,1920x1080,-42.236092,8.111827,True,Beauty,merchant_06098,electronics,JP,False,0.0511,382
3301,2023-01-02 12:01:00,3.78,card_000077,debit,Visa,BoA,tablet,dev_04275,195.173.131.58,company.com,Firefox,iOS,1440x900,19.376349,93.225534,False,Clothing,merchant_07796,travel,AU,False,0.0859,251
818,2023-01-02 13:43:00,32.37,card_000048,credit,Visa,Citibank,mobile,dev_02632,194.116.83.202,company.com,Safari,Linux,2560x1440,-4.481939,143.263878,False,Home & Garden,merchant_06988,dining,KR,False,0.105,226
7228,2023-01-02 14:40:00,28.31,card_000021,amex,Amex,BoA,tablet,dev_04300,100.49.191.251,gmail.com,IE,Android,1920x1080,46.452021,80.623223,False,Food & Grocery,merchant_09511,insurance,DE,False,0.0088,211
4345,2023-01-02 17:00:00,54.62,card_000002,mastercard,Visa,Chase,tablet,dev_03500,10.113.119.79,yahoo.com,IE,macOS,1024x768,-30.968113,-80.982256,True,Books,merchant_03927,gas_station,AU,False,0.1184,284
4376,2023-01-02 17:04:00,18.91,card_000168,credit,Discover,Chase,mobile,dev_03590,69.6.6.212,gmail.com,Opera,Windows,1366x768,40.950361,136.645322,True,Home & Garden,merchant_01882,gas_station,FR,False,0.1812,271
553,2023-01-02 17:11:00,2.17,card_000167,debit,Mastercard,Discover,mobile,dev_00613,242.175.154.242,yahoo.com,Opera,macOS,1920x1080,82.52961,-24.808729,True,Home & Garden,merchant_06851,dating_apps,RU,False,0.1099,179
8264,2023-01-02 18:08:00,2.59,card_000041,amex,Discover,Discover,desktop,dev_02917,210.6.140.196,outlook.com,Edge,Linux,1024x768,-79.153675,108.31319,False,Toys,merchant_01031,insurance,BR,False,0.0244,400
3261,2023-01-02 18:28:00,75.35,card_000162,amex,Discover,HSBC,mobile,dev_01110,97.206.210.60,outlook.com,IE,Linux,1024x768,-42.823099,147.177797,True,Food & Grocery,merchant_07422,cryptocurrency,US,False,0.19,395
2028,2023-01-02 18:37:00,45.48,card_000145,mastercard,Mastercard,Citibank,desktop,dev_01957,174.19.108.39,yahoo.com,Opera,iOS,1024x768,49.254596,-127.694984,True,Electronics,merchant_05258,cryptocurrency,JP,False,0.0928,321
5569,2023-01-02 20:02:00,9.68,card_000026,amex,Mastercard,US Bank,tablet,dev_01936,10.194.123.244,gmail.com,Chrome,macOS,2560x1440,-73.400465,23.935521,False,Food & Grocery,merchant_00301,online_retail,MX,False,0.0766,187
2023,2023-01-02 21:07:00,13.71,card_000026,amex,Amex,American Express,tablet,dev_04914,233.205.156.222,gmail.com,Edge,iOS,1366x768,-40.933028,28.190747,False,Services,merchant_05931,hotel,RU,False,0.1401,458
9978,2023-01-02 21:32:00,678.44,card_000026,mastercard,Discover,Citibank,tablet,dev_00072,182.199.208.199,disposable.com,Chrome,Windows,1366x768,61.526645,-113.663841,False,Gift Cards,merchant_06572,gift_cards,US,True,0.9753,379
1081,2023-01-02 22:21:00,17.78,card_000165,debit,Discover,American Express,tablet,dev_04549,147.109.211.176,yahoo.com,Opera,Android,1440x900,35.462343,21.641754,False,Clothing,merchant_06773,utilities,RU,False,0.0773,95
9538,2023-01-02 22:58:00,9.34,card_000151,visa,Amex,Wells Fargo,mobile,dev_00644,19.119.69.150,gmail.com,Opera,Android,1366x768,70.814932,76.199568,True,Toys,merchant_00688,gas_station,RU,False,0.0398,85
1498,2023-01-02 23:16:00,56.8,card_000124,mastercard,Discover,Chase,desktop,dev_01614,105.112.71.218,yahoo.com,Chrome,Windows,1920x1080,53.942114,-24.191438,True,Books,merchant_00443,utilities,KR,False,0.0986,75
4490,2023-01-03 00:14:00,2.06,card_000092,mastercard,Amex,Citibank,mobile,dev_04886,49.196.195.227,gmail.com,Chrome,iOS,1366x768,62.714759,13.105264,False,Home & Garden,merchant_05493,entertainment,GB,False,0.1298,360
2861,2023-01-03 00:14:00,9.96,card_000184,visa,Mastercard,Chase,desktop,dev_02749,216.251.56.125,gmail.com,Safari,Android,2560x1440,66.209849,-71.444155,True,Toys,merchant_03721,grocery,AU,False,0.0908,80
7371,2023-01-03 01:15:00,6.04,card_000166,credit,Visa,Chase,desktop,dev_01847,110.205.170.175,hotmail.com,Chrome,Windows,2560x1440,5.666665,177.380727,False,Electronics,merchant_01120,insurance,RU,False,0.0138,411
4618,2023-01-03 01:41:00,9.53,card_000033,credit,Amex,Discover,tablet,dev_01806,6.48.66.134,company.com,IE,Windows,2560x1440,-36.783133,14.368787,False,Digital Content,merchant_08692,entertainment,DE,False,0.1148,100
2068,2023-01-03 05:03:00,26.58,card_000019,debit,Mastercard,Deutsche Bank,tablet,dev_00688,137.114.233.82,gmail.com,Safari,Linux,2560x1440,-20.0831,115.443138,True,Electronics,merchant_04504,gas_station,CA,False,0.0902,350
5334,2023-01-03 05:30:00,73.92,card_000090,amex,Discover,BoA,mobile,dev_01118,167.89.242.181,hotmail.com,Firefox,Linux,1024x768,77.248673,-127.394228,True,Electronics,merchant_06074,hotel,BR,False,0.0419,205
2777,2023-01-03 05:31:00,4800.02,card_000074,amex,Visa,Capital One,desktop,dev_04964,164.152.65.53,gmail.com,IE,Linux,2560x1440,-82.813021,117.307952,False,Services,merchant_00323,grocery,DE,False,0.0989,181
7668,2023-01-03 07:55:00,9.56,card_000142,debit,Visa,American Express,mobile,dev_01693,154.140.223.216,gmail.com,Opera,Android,1366x768,48.243385,-174.166269,False,Clothing,merchant_03668,entertainment,FR,False,0.0523,160
8194,2023-01-03 08:04:00,23.02,card_000166,visa,Amex,Capital One,tablet,dev_00975,238.205.186.17,outlook.com,Edge,iOS,1024x768,-56.895283,-16.759273,True,Beauty,merchant_02372,travel,SG,False,0.1328,149
